stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,3.21,0,0,0,0,0,0,0,0,3.21,2.14,0,1.07,0,0,0,0,0,0,0,4.28,0,0,0,0,0
21Day,2.68,0,8.03,0,0,0,0,0,0,1.34,0,1.34,4.02,0,6.69,0,0,0,0,0,0,0,5.35,0,0,0,0,0
3Month,0,0.96,16.96,0.64,1.28,0.96,0,23.04,0.96,0.32,3.2,2.88,7.04,0.32,4.8,1.92,0,0.32,0.32,0.64,0.32,0,0,0.96,8,1.28,5.76,0.64
22Month,0,1.64,6.01,0,0.55,0,3.83,39.91,0,0,3.83,0,0.55,0.55,3.28,0,0.55,0,0,0.55,0,0.55,0,0,6.01,0,0,0
