stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Oligodendrocyte,Osteoblast,Pancreatic_cell,Smooth_muscle_cell
21Day,0,0,1.34,0,0,0,5.35,0,0,0,0,0,0,0,0,1.34,0,0
3Month,0.32,0.32,1.28,0.32,0.32,0.32,117.1,1.28,0.64,1.92,0.32,0.32,0.64,0.32,0.32,0,1.92,0.32
22Month,0,0,0,0,0,0.55,34.44,0,0,0,0,0,0,0,0,0,0,0
