stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Hatching_gland,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,T_cell
24hpf,4.09,8.17,0,0,0,0,8.17,0,4.09,4.09,0,4.09,20.43,0,8.17,286.05,8.17,0,0,0
72hpf,1.07,0,1.07,0,0,0,0,0,0,1.07,2.14,0,7.49,0,14.98,46,2.14,2.14,3.21,0
21Day,6.69,0,12.05,30.79,14.72,0,0,2.68,0,0,0,0,5.35,1.34,5.35,32.12,4.02,1.34,2.68,1.34
22Month,0,0,0,0,0,0.55,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0
