stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,8.17,0,0,8.17,0,0,0,0,4.09,0,0,40.86,0,0,8.17,1131.93,4.09,0,0,0,32.69,0,0,0
72hpf,1.07,2.14,1.07,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,8.56,65.26,2.14,0,8.56,2.14,11.77,0,0,0
21Day,0,0,1.34,0,0,0,0,0,0,1.34,0,0,1.34,0,4.02,0,0,5.35,17.4,0,2.68,0,4.02,1.34,0,0,0
3Month,0,0,0.64,0,0,0.64,0,1.28,0,0,0,0,0,0.32,0.64,0,0.32,0,0,0.32,0.32,0,0,2.88,0.64,0.64,0.64
22Month,0,0,1.09,0,0.55,0.55,0,7.11,1.09,0,1.64,0,0,0,1.64,0.55,0,0,0,0,19.13,0,0.55,3.28,0,0,0
