stage,Epithelial_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
24hpf,0,4.09,4.09,4.09,0,16.35
72hpf,0,0,0,1.07,2.14,1.07
21Day,2.68,0,0,0,0,0
