stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,8.17,0,4.09,0,0,0,12.26,0,4.09,16.35,0,0,0,143.02,4.09,4.09,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,4.28,0,0,0,0,0,0,0,0
21Day,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.37,0,0,0,0,1.34,0,0,0
3Month,0,0.32,0.32,15.04,0.32,0,4.16,0.32,1.6,18.56,1.28,0.96,0.32,0.32,0.64,0.64,0,0,0.64,0.32,5.76,0.32,0,16,1.6
22Month,0,0,0,3.83,0,0,1.64,0,0.55,1.09,0,0.55,0,0,0,0,0,0,0,0,11.48,0,0.55,0,0
