stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
72hpf,1.07,1.07,4.28,0,0,1.07,1.07,0,40.65,1.07,1.07,0,0
21Day,0,4.02,0,1.34,1.34,0,0,1.34,22.76,0,9.37,4.02,1.34
