stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,1.07,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,9.37,1.34,0,0,0,0,0,0,2.68,0,0,24.09,1.34,2.68,0,0,2.68,0,0,0,0
3Month,0,6.4,0,0,0,0.64,0,3.52,0.64,0,5.44,0.64,0.96,1.28,0,0.32,0.64,0,0.64,0.32,1.6,1.28
22Month,0,1.09,0,0.55,0.55,0.55,1.09,4.92,0.55,0.55,2.73,0,0,0,0.55,0,0,0,0,0.55,0,0
