stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte,T_cell
21Day,0,125.82,1.34,0,0,0,0,0,0,1.34,4.02,28.11,24.09,2.68,0,44.17,0,4.02,0,0,2.68,0,0,1.34,0,0
3Month,1.28,62.07,0,0.32,0.96,8.32,0,3.2,12.8,1.92,8.32,2.24,3.52,0.32,0.64,0.96,1.6,0.32,0.64,0.96,0,0.32,1.6,0,0.64,0.64
22Month,1.09,72.16,0,1.64,0.55,2.73,0.55,3.83,2.73,0.55,1.09,1.09,21.87,0,0,10.39,0.55,0.55,0.55,0.55,0,0,0,0,0,0.55
