stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,61.3,0,4.09,0,0,0,0,28.6,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,7.49,6.42,0,0,0,0,0,0,244.98,59.91,2.14,1.07,0,0,17.12,3.21,1.07,3.21,0,0,0,0,0,0
21Day,1.34,0,0,49.53,5.35,0,0,2.68,0,2.68,2.68,690.68,68.27,1.34,12.05,0,1.34,6.69,5.35,0,4.02,6.69,0,2.68,0,0,2.68
3Month,0,0.96,0.64,40.95,0,0,2.56,10.56,0.96,0,3.84,51.19,2.24,0.96,2.88,0.32,0.96,0,0,0,0.32,0.32,3.2,0,0.32,0.64,0.96
22Month,0,0.55,0,14.21,0,0.55,0,2.19,0,0,0.55,61.23,0,1.09,0.55,0,0.55,0,0,0,0,0,1.64,0,0,0,0
