stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,4.09,12.26,12.26,0,0,0,0,8.17,241.1,0,0,0,0,0,0,4.09,0,0,0
72hpf,4.28,0,3.21,1.07,1.07,0,0,0,0,0,0,1.07,0,2.14,6.42,2.14,6.42,0,1.07,0,0,146.56,65.26,0,0,5.35,0,0,4.28,0,0,0,0
21Day,2.68,0,14.72,0,2.68,0,0,1.34,0,0,1.34,4.02,4.02,1.34,6.69,2.68,12.05,0,0,0,0,48.19,18.74,1.34,0,1.34,4.02,0,8.03,0,0,0,1.34
3Month,0,0.96,9.6,0,0,0.64,1.6,1.28,0,13.12,1.92,0.64,3.52,0.96,2.24,2.56,2.56,0.32,0,0.32,0.32,0,0.64,0.96,0,0,0.96,11.2,0.32,0,0.96,2.88,2.88
22Month,0.55,0.55,4.92,0.55,0,0,0,3.28,1.64,42.64,1.09,1.09,7.65,0.55,1.09,2.19,4.37,0.55,0.55,1.09,0.55,0,0,0,0.55,0,0.55,3.83,0.55,0.55,0,0,1.64
