stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,8.17,53.12,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,0,0,0,0,0,1.07,0,3.21,5.35,0,6.42,0,3.21,0,38.51,23.54,0,0,6.42,0,0,2.14,0,0,0
21Day,5.35,0,16.06,5.35,4.02,0,0,0,2.68,0,0,5.35,0,12.05,0,0,0,17.4,16.06,0,1.34,0,1.34,0,1.34,0,0,2.68
3Month,0,0,0.64,0,0,0.32,1.6,0.32,0,0.96,0.32,0.32,0.64,0.96,0.32,0,0.32,0,0,0.32,0,0,0.32,0.64,0,0.32,0.32,1.28
22Month,0,0,0.55,0,0,0.55,1.09,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0
