stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0
21Day,0,0,8.03,0,0,0,0,0,0,0,1.34,1.34,0,5.35,1.34,1.34,0,0,0,0,0,0,0,2.68,0,0,0,0
3Month,2.56,1.6,59.51,0.32,0,12.8,1.28,0,10.56,2.88,1.92,83.51,1.28,13.44,10.24,3.2,0,1.6,0.96,0.64,0,2.24,0,0.64,5.12,0.32,0.64,5.44
22Month,4.37,4.37,20.77,0,0.55,13.67,4.37,1.64,21.87,2.73,3.28,114.25,0.55,4.92,8.2,8.2,0.55,2.19,0,0.55,0,0.55,0.55,0,12.03,1.64,0,1.64
