stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0
72hpf,0,0,2.14,1.07,0,0,0,0,1.07,1.07,1.07,1.07,0,64.19,78.09,0,3.21,0,28.88,0,0
21Day,2.68,0,0,1.34,0,0,1.34,0,0,1.34,0,0,0,20.08,12.05,0,1.34,0,9.37,2.68,0
3Month,0,0,0.32,0,0,0.64,0,0.32,0.32,0.32,0,0.64,0,0.32,0,0,0,1.28,0,0,0.64
22Month,0,0.55,0,0,2.19,16.4,0,0,0,0.55,0.55,2.19,0.55,0,0,0.55,0,1.64,0,0,0
