stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Radial_glia
24hpf,0,0,0,0,0,4.09,0,0
72hpf,0,0,0,1.07,3.21,1.07,1.07,1.07
21Day,0,1.34,0,0,2.68,2.68,0,0
22Month,0.55,0,0.55,0.55,0,0,0,0
