stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,16.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,8.56,1.07,0,0,0,0,0,0,1.07,12.84,1.07,0,0,0,3.21,2.14,0,2.14,0,1.07,0,0,1.07,0,0,0
21Day,33.46,0,4.02,4.02,0,0,0,4.02,0,33.46,0,2.68,2.68,0,0,1.34,1.34,0,0,2.68,0,0,0,0,0,0
3Month,10.56,0,0,8.64,0.32,3.2,1.28,5.12,0.32,4.16,2.24,0.32,0.96,0.64,0,0,0,0,0,0,0.32,1.28,0,0.32,1.6,0.64
22Month,0,0,0,1.64,1.64,9.29,0,0.55,0,1.09,1.09,0.55,0.55,0,0,0,0,0.55,0.55,0,0.55,0,0,0,0,0
