stage,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,8.17,0,0,4.09,0,0,0,0,0
72hpf,0,0,0,0,19.26,0,1.07,0,0,0,0,0,0
21Day,0,1.34,0,1.34,105.74,1.34,1.34,1.34,1.34,1.34,2.68,0,1.34
3Month,0.64,0,0.32,0,1.92,0,0,0,0,0,0,0.32,0
22Month,0,0,0,1.09,0,0,0.55,0,0,0,0,0,0
