stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,187.97,4.09,85.81,0,8.17,0,0,0,0,8.17,224.75,4.09,657.91,0,0,0,0,0,0,0
72hpf,12.84,0,58.84,2.14,0,0,1.07,0,2.14,0,10.7,18.19,13.91,0,3.21,0,1.07,0,0,0
21Day,1.34,0,6.69,0,0,0,0,0,2.68,0,1.34,2.68,1.34,0,1.34,0,0,1.34,0,1.34
3Month,1.92,0,1.6,0,0,1.92,0,0.64,0.32,0.32,1.28,0.32,0,0,0,0.32,0,0,0.64,0.32
22Month,1.09,0,0.55,0,0,1.09,0,0.55,0,0.55,0,0,0,1.09,0,3.28,0,0,0,0
