stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,3.21,1.07,1.07,0,0,0,0,0,0,3.21,0,0,0,0,103.77,4.28,0,4.28,0,0,1.07,0,0,0,0
21Day,6.69,2.68,9.37,1.34,0,0,0,0,1.34,0,2.68,5.35,0,1.34,52.2,2.68,1.34,0,2.68,0,0,1.34,1.34,0,1.34
3Month,0,1.28,0,0,0.32,0,7.04,0,0,0.96,0.64,0.32,0,0,0.64,0,0,0,0,1.6,0,0,0,1.28,0
22Month,0,1.09,0,0,0,0.55,20.23,2.19,0,0,1.09,1.09,1.09,0,0,0,0,0,0,1.09,0,0,0,0,0.55
