stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,8.17,0,0,4.09,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0,0,0,8.56,2.14,0,0,0,0,0,0,1.07,2.14,0,0,1.07,0,0,0,0,0,0,0,0
21Day,1.34,0,5.35,17.4,2.68,2.68,0,0,0,0,1.34,0,5.35,0,0,33.46,1.34,0,4.02,12.05,0,0,2.68,0,1.34,2.68,2.68,0,6.69,8.03,0,6.69,1.34,0,0,0,0
3Month,0,2.24,3.84,39.67,0,0,0.32,0.32,13.76,13.12,0.64,0,589.35,8.32,0.96,169.25,2.88,8,5.12,12.8,2.88,0.96,2.88,27.2,1.6,0.32,2.56,1.28,0,10.88,3.2,0.64,0,0.32,1.28,1.6,4.48
22Month,0.55,1.09,3.83,10.39,1.09,0,1.09,0,4.92,7.65,0,0,231.78,2.73,2.19,121.36,0,0.55,2.19,13.12,0.55,3.83,0,0.55,0,0,1.09,1.09,0,0,2.19,1.09,0,0,0,0,0.55
