stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,20.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,3.21,3.21,3.21,0,0,0,0,1.07,2.14,0,0,0,1.07,0,0,1.07,0,0,0,0,0,0
21Day,1.34,0,0,0,1.34,1.34,0,0,0,0,0,0,0,0,0,0,0,1.34,0,2.68,0,0,0,0,0,1.34,0,0,0,2.68,1.34,0,50.86,0,1.34,1.34,0,2.68,1.34
3Month,0.64,1.92,1.6,21.76,0,0,0,0.32,0.64,3.84,6.4,0,32.63,11.52,0.64,12.48,2.88,6.08,4.48,12.16,1.6,0.32,2.56,4.48,4.8,1.28,2.24,0.96,0,0.96,13.44,0.32,1870.74,1.28,0,0.32,9.28,325.71,7.68
22Month,0.55,0.55,0,3.83,0,0,0.55,0,0,0,2.19,0.55,67.24,2.19,0,1.64,0,1.09,4.37,7.65,0,2.19,1.64,0,0.55,0.55,1.09,0,2.19,0.55,0.55,0,319.79,0,0,0,0,1.64,1.64
