stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,8.17,0,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,0,4.09,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,3.21,0,4.28,0,0,0,0,13.91,5.35,0,0,0,62.05,0,0,1.07,1.07,1.07,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03,0,0,0,0,5.35,1.34,0,0,0,18.74,0,0,0,2.68,8.03,0,0,0
3Month,0.32,1.92,0.32,20.16,0.96,0.32,0.64,8,0.32,0,341.39,4.8,0.32,11.84,1.6,3.52,1.28,557.99,2.56,1.28,2.56,1.92,0.96,0.64,0.64,1.6,0,0.32,17.6,8,0,0,0,1.28,6.72,3.52
22Month,0,1.09,0,4.37,3.28,0,0.55,4.92,0.55,0,407.8,0.55,1.09,2.19,0,0,0.55,25.15,0,38.81,0.55,0,0,0,0.55,0,0.55,0.55,0.55,3.83,0,0.55,0,0,0,1.64
