stage,Epithelial_cell,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Radial_glia,Spermatocyte
24hpf,0,0,0,0,0,0,0,4.09,0,0,0,0
72hpf,1.07,0,13.91,0,0,0,0,2.14,0,13.91,0,0
21Day,1.34,0,0,0,1.34,0,0,0,0,1.34,0,0
3Month,0.96,0.96,0.64,0.32,0.96,1.92,0,0,14.08,0,0.32,0.32
22Month,0,0,0,0,0,0,0.55,0,9.29,0.55,0,0
