stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell
72hpf,0,1.07,0,0,0,0,1.07,6.42,72.75,4.28,0,0,6.42,6.42,0
21Day,0,0,0,0,0,0,0,0,13.39,0,1.34,1.34,0,0,0
3Month,0.32,1.92,0,0.32,0,0.32,0,0.64,24.64,0,0,0,0,0,0.32
22Month,0,0,0.55,16.4,0.55,0,0,0,1.09,0,0,0,0,0,0
