stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,8.17,8.17,8.17,12.26,0,0,4.09,645.65,0,4.09,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,1.07,0,0,3.21,5.35,0,0,0,0,0,0,0
3Month,0,0.96,0,0.32,0,3.52,0.32,0.32,0.32,0.64,0,0.32,0,0.96,0,0.32,0.64,0,0.32,0.64,0.32,0.96,0
22Month,0.55,1.09,1.09,2.19,1.09,14.21,0.55,1.09,0,0,0.55,2.19,1.64,1.09,0,0,0,0,0,0.55,0,0,1.09
