stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,T_cell
21Day,0,0,0,1.34,0,0,4.02,0,1.34,6.69,0,0,0,1.34,0,0,0
3Month,0.32,0.96,0.32,6.08,0,3.84,0,0.64,0,7.04,1.28,0.32,0.32,0,0.32,0,8
22Month,0,0,0,0.55,1.09,1.09,0,0.55,0,0.55,0,0,0,0,0,0.55,3.28
