stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,4.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,2.14,0,0,0,0,0,0
21Day,6.69,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.96,0.32,0.32,4.16,0.32,1.28,0.64,0,27.52,1.28,0.64,13.44,0.64,2.24,1.92,3.2,0.64,0,0,0.96,0.32,0,0,0,0.32,0.96,2.24,0.64,1.28,0.32,2.56
22Month,1.64,1.09,1.64,4.37,0,2.19,2.19,13.12,124.64,1.09,0.55,14.76,0,0.55,0.55,8.75,1.09,4.37,0.55,0,1.09,0,1.09,0.55,0,1.09,9.29,0,0,0,0.55
