stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Osteoblast,Retinal_cell,T_cell
24hpf,0,0,0,0,0,0,4.09,0,0,0
72hpf,0,1.07,0,0,0,0,0,1.07,0,0
21Day,0,4.02,0,1.34,1.34,1.34,1.34,0,1.34,1.34
3Month,0.32,0.32,0.32,0,0,0,0,0,0,0
