stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia
72hpf,1.07,2.14,2.14,2.14,0,0,0,0,1.07,7.49,0,47.07,27.81,12.84,1.07,1.07,10.7,0,1.07
21Day,0,9.37,0,8.03,1.34,1.34,1.34,4.02,1.34,4.02,6.69,24.09,9.37,9.37,0,0,5.35,1.34,1.34
