stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,8.17,4.09,0,0,212.49,16.35,0,0,0,0,0,0,0,0,0,24.52,0
72hpf,4.28,1.07,2.14,3.21,0,0,0,0,0,0,1.07,0,2.14,0,1.07,304.89,16.05,0,3.21,0,2.14,0,0,1.07,17.12,8.56,23.54,0
21Day,2.68,5.35,0,6.69,2.68,0,1.34,2.68,2.68,0,4.02,1.34,9.37,0,0,342.66,5.35,1.34,5.35,0,6.69,2.68,0,0,30.79,70.94,6.69,1.34
3Month,0,2.24,0,0,0,0,0.32,0.32,0.32,0.32,0,0.96,1.28,0.32,0,17.92,0,1.28,0.96,0,0,0,4.48,0.32,0.32,0.32,0.64,0
22Month,0,0,0,0,0,1.09,0,0,0,0,0,0.55,0,0,0,3.83,0,2.19,1.09,0.55,0,0,3.83,1.64,1.64,0,0,0
