stage,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,16.35,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,1.07,0,0,0,4.28,1.07,0,0,0
21Day,1.34,0,0,0,0,0,0,0,0,1.34,0,0,0,0
3Month,0.96,0.32,0.96,0.32,0.32,0.32,0.32,0.32,0.32,0,0,8.96,9.6,0.64
22Month,0,0,0,0,0,0,0,0.55,0,0,0,0.55,0,0
