stage,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Primordial_germ_cell,T_cell
21Day,6.69,1.34,0,0,0,0,0,0,1.34,0,0,1.34,0,0
3Month,28.48,0,0.64,0.32,0.64,1.92,0.64,0.32,1.6,6.08,0.32,0,0.64,1.28
22Month,1.64,0,0,0,6.01,0,0.55,0.55,0,0.55,0,0,0,0
