stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,4.09,4.09,0,4.09,0,0,0,0,0,0,0,0,0,0,12.26,4.09,0,0,0,151.2,0,0,8.17,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,2.14,0,0,0,1.07,0,0,0,0,0,0
21Day,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,0,0,0,0
3Month,0,0.96,0.96,8.64,0.32,2.24,5.12,0,183.01,4.48,0.64,4.8,0.32,1.92,3.52,4.16,0.32,0.64,0.96,0,0.32,0.64,0,1.92,1.92,0.32,0.32,0.64,4.16
22Month,0,0,0,1.64,0,0,0,9.29,14.76,0,0,14.76,0,1.09,0,0.55,0,1.09,0,0,0,0,0,0,0,0,0,0,0
