stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,T_cell
24hpf,8.17,0,4.09,0,0,0,4.09,0,0,4.09,0,0,24.52,4.09,8.17,232.93,8.17,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,1.07,0,1.07,0,4.28,0,4.28,17.12,1.07,1.07,1.07,0
21Day,0,1.34,0,1.34,1.34,0,0,0,0,0,0,0,4.02,0,2.68,8.03,0,0,0,0
3Month,0,0,0,0,0,0,0,0.32,0,0,0,0,0.32,0,0,0,0,1.28,0,0.32
22Month,0,0,0,0,0,1.09,0,0,0.55,0,0,0.55,0,0,0.55,0,0,1.09,0,0
