stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0
21Day,4.02,0,0,2.68,0,0,0,0,0,0,0,0,0,1.34,0,26.77,0,0,6.69,0,0,1.34,0,0,1.34,0,0,0,1.34,0,0,0,0
3Month,1.28,37.11,0,13.44,0,0,2.56,0.64,1.6,0.64,0,0.96,0.64,11.84,3.52,25.28,1.28,0.32,2.56,0.32,0,0.64,0.32,0,0,0.64,1.6,0,0,0,1.92,0.96,1.28
22Month,0.55,177.12,0.55,15.85,0.55,2.73,4.92,6.56,17.49,2.19,4.92,2.73,0.55,7.11,39.36,112.06,0.55,0.55,6.56,0,0,0,0,0.55,1.09,0.55,0,1.64,0,0.55,2.19,0,4.37
