stage,Cardiomyocyte,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,20.43,0,4.09,98.07,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,1.07,0,3.21,0,31.02,6.42,0,2.14,0,1.07,0
21Day,2.68,5.35,1.34,0,0,0,0,1.34,0,8.03,0,5.35,4.02,1.34,5.35,0,0,0
3Month,0,0.64,0,0.32,4.48,0.64,0.64,0.32,0.32,1.6,0,0,0,0.32,0,0.32,0,0
22Month,0,0,0,0,3.28,0,1.09,0,0,0.55,0.55,0,0,0,0,0.55,0,0.55
