stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,265.62,0,32.69,4.09,0,0,0,0,0,0,12.26,0,0,0,0,16.35,0,4.09,155.28,0,0,0,0,138.94,4065.97,0,0,28.6,0,0,0,0,0,0,0,0
72hpf,0,43.86,0,4.28,1.07,1.07,0,0,0,0,1.07,0,0,0,0,0,3.21,6.42,1.07,18.19,0,0,1.07,4.28,33.16,95.21,1.07,0,18.19,0,0,93.07,0,0,0,0,0
21Day,2.68,12.05,0,6.69,2.68,0,0,0,0,0,0,0,0,0,0,0,6.69,2.68,0,0,0,0,0,6.69,4.02,18.74,0,0,1.34,1.34,0,6.69,0,0,0,0,0
3Month,0.96,53.43,2.24,148.46,1.6,0,1.28,0.32,285.71,4.8,0,0,13.76,7.36,0,11.2,157.1,9.92,10.56,8.64,1.28,0.32,114.86,20.8,2.88,1.6,2.88,0.32,0.32,3.52,12.8,1.6,0.64,1.28,1.28,248.28,3.52
22Month,0,244.35,2.73,54.67,1.64,0,1.09,0,89.1,5.47,132.84,0,47.01,1.09,1.09,6.01,91.84,9.29,19.13,11.48,0,1.09,47.01,1.09,2.73,0,1.64,2.19,0,1.09,2.19,3.28,0,1.09,0.55,0,1.09
