stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,20.43,36.78,0,0,0,0,8.17,151.2,0,0,0,0,0,0,4.09,0,0,0
72hpf,5.35,0,0,9.63,2.14,3.21,0,0,0,0,1.07,0,0,0,0,0,3.21,6.42,3.21,13.91,0,1.07,0,0,22.47,20.33,0,1.07,13.91,0,0,1.07,1.07,0,0,0
21Day,2.68,0,1.34,17.4,1.34,0,0,0,0,0,0,0,0,0,2.68,1.34,1.34,12.05,0,22.76,0,0,0,0,10.71,1.34,0,0,6.69,1.34,2.68,2.68,1.34,0,0,1.34
3Month,0,3.52,2.24,16,0.32,0,0.32,0.32,0,2.88,5.12,0,24.64,5.76,0.64,6.08,1.28,3.52,9.28,12.48,3.2,0.64,2.24,0.96,0.64,0.32,0.96,1.28,0.64,1.6,132.78,0.96,0.32,1.6,38.71,12.8
22Month,0,6.01,0.55,11.48,0,0,1.09,0.55,0.55,0.55,9.84,3.28,68.33,2.73,0.55,24.05,2.19,2.73,4.37,23.51,1.09,5.47,2.19,0.55,2.19,0.55,1.64,1.64,0,0,28.43,1.09,0.55,1.64,0,3.83
