stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,32.09,0,0,0,0,0,0,0,0,8.56,9.63,0,0,0,0,0,32.09,12.84,0,2.14,0,0,0,0,2.14,0,0,0,0
21Day,0,0,2.68,12.05,0,0,0,0,0,0,1.34,0,10.71,5.35,0,0,0,1.34,1.34,4.02,1.34,0,1.34,0,0,1.34,0,0,0,0,0,0
3Month,0.32,0.32,15.68,6.4,0.32,1.92,0.96,0,9.28,2.24,0.32,19.84,6.08,2.56,1.92,1.28,0.64,0,0,127.02,1.28,0,1.28,0.32,0,0,0.32,25.28,0.64,0.32,2.56,3.2
22Month,0.55,1.09,2.19,3.83,0,0,1.09,1.09,12.57,0.55,0,7.65,0,0,1.09,0,0,0.55,0.55,13.67,0,0.55,2.19,0,24.6,0,0.55,71.07,1.64,0,0,0
