stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,8.17,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,4.09,0,0,0,0,0,24.52,4.09,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,8.56,3.21,0,0,0,0,0,0,0,0,0,0,2.14,2.14,0,4.28,0,0,0,0,101.63,17.12,7.49,2.14,0,0,12.84,3.21,0,1.07,0,0
21Day,0,0,0,8.03,2.68,0,0,0,0,0,0,0,0,0,0,2.68,0,0,2.68,0,0,1.34,0,46.85,8.03,2.68,4.02,2.68,5.35,9.37,1.34,1.34,0,0,1.34
3Month,0,0.96,1.6,54.39,0.96,0.32,0.32,1.92,1.92,0,0,5.12,0.64,0,9.6,4.16,4.8,0.96,2.24,0.32,0,1.28,0.96,7.36,0.32,13.12,0.32,0.32,8.96,4.48,0,0,0,17.6,1.6
22Month,0,1.64,0,14.21,2.73,0.55,0,1.09,3.28,0.55,0,24.05,1.09,0.55,7.11,0,1.64,0.55,1.09,0,1.09,0,0.55,2.19,0,12.03,0,0,10.39,21.87,0.55,0,1.09,0.55,0.55
