stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,28.6,0,4.09,147.11,0,0,0,0,0,4.09,0,0
72hpf,3.21,1.07,0,1.07,1.07,0,0,0,0,0,0,0,0,0,3.21,0,0,0,6.42,11.77,0,0,0,0,0,2.14,0,0
21Day,0,0,0,2.68,0,0,1.34,0,0,0,1.34,0,0,0,0,0,5.35,0,0,6.69,1.34,4.02,0,1.34,1.34,0,0,0
3Month,0.32,0,0.32,2.24,0,0,0,0,0,0.32,2.56,0.32,0.32,0.96,0.96,0.32,0.96,0.32,0,0,0,0.32,0,0,0,0,0.32,0.32
22Month,0,0,0,1.09,0,0.55,0,0.55,0.55,0.55,6.56,0,1.09,0,0,0.55,0,0.55,0,0,0,0,0.55,0,0,0,0,0.55
