stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,24.52,0,0,0,0,0,44.95,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,5.35,0,10.7,1.07,0,0,0,0,0,0,0,0,1.07,0,5.35,5.35,7.49,11.77,0,1.07,0,0,10.7,3.21,0,0,6.42,1.07,1.07,0,0,0,0,0,0
21Day,5.35,2.68,0,41.49,2.68,12.05,0,1.34,1.34,1.34,0,1.34,1.34,12.05,0,2.68,12.05,22.76,46.85,0,0,4.02,0,5.35,17.4,1.34,0,10.71,5.35,0,0,1.34,0,0,0,0
3Month,0.32,3.52,1.92,40.95,0,0,1.28,0.96,15.04,2.56,0,162.21,7.36,1.28,8.96,6.4,13.12,29.12,23.68,2.56,0,1.92,1.28,0.96,0.64,0.96,0.64,0.64,2.88,12.8,0,0,0.32,1.28,1.28,2.24
22Month,0,7.11,2.73,15.85,0,0,0.55,0.55,5.47,2.73,6.56,676.21,3.83,3.28,22.96,0.55,1.64,25.15,28.43,1.64,3.83,5.47,0.55,1.09,1.09,0,0.55,0,0.55,9.84,1.09,0,0,0,0,2.19
