stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Neural_cell,Neural_progenitor_cell,Retinal_cell
24hpf,0,0,0,0,0,4.09,0
72hpf,0,0,0,0,6.42,1.07,0
21Day,0,0,0,0,1.34,0,0
3Month,0,0.32,0.96,0.32,0,0,0
22Month,0.55,0,1.09,0,0,0,8.75
