stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,36.78,0,0,0,0,0,0,0,0,0,0,0
72hpf,18.19,3.21,4.28,5.35,10.7,0,0,0,0,0,0,0,1.07,0,6.42,21.4,3.21,16.05,2.14,0,1918.14,56.7,3.21,2.14,19.26,0,0,9.63,1.07,0,3.21,0,0
21Day,8.03,1.34,33.46,1.34,29.45,0,1.34,0,0,0,1.34,1.34,4.02,1.34,2.68,8.03,4.02,18.74,0,1.34,776.35,20.08,1.34,2.68,10.71,16.06,1.34,8.03,2.68,12.05,0,0,1.34
3Month,0,0.32,10.24,0,0,0.32,0.32,0.96,0.32,0,10.88,0.64,0,4.16,2.24,2.24,1.92,0.64,0,0,46.39,0.32,0.64,0.64,0.32,0.32,9.92,0.64,0,0,0,2.24,0.32
22Month,0,2.19,14.76,0,0,0,0,1.64,1.09,1.09,50.29,1.64,0,7.65,0.55,0.55,1.64,2.19,1.64,0.55,20.23,0,1.64,0.55,0,0,4.37,0.55,0,0,0,0,1.64
