stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
72hpf,2.14,0,2.14,0,0,0,0,0,3.21,1.07,4.28,0,0,165.82,5.35,5.35,0,0,0,1.07,0
21Day,1.34,1.34,1.34,1.34,0,0,0,0,0,0,1.34,0,1.34,66.93,0,5.35,0,2.68,0,1.34,2.68
3Month,0,0,0,0,0.32,1.28,0.32,0.32,0.32,0.32,0,0,0,0,0,0,0.32,0,0.32,0,0
22Month,0,0,0,0,0,3.83,0.55,0.55,0,1.09,0,1.09,0,0,0,0,0,0,0,0,0
