stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,4.09,24.52,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,4.28,1.07,0,0,0,0,0,1.07,0,0,1.07,0,5.35,0,0,1.07,0,0,0,0,0,7.49,0,0,1.07,0,0,0
21Day,0,0,2.68,1.34,0,0,0,0,0,0,0,2.68,1.34,5.35,13.39,0,0,2.68,1.34,1.34,2.68,0,1.34,6.69,0,0,1.34,0,0,0
3Month,1.28,0,19.84,0,3.2,0.64,0,5.44,1.28,0,1.92,6.4,5.76,7.68,2.24,0.32,0,2.24,2.24,0.32,0,0.64,0.32,0,0.32,3.2,1.28,5.76,0.64,0.64
22Month,0.55,1.09,14.21,0,3.28,3.28,2.73,22.96,0.55,0.55,2.19,0,0.55,3.83,1.64,0,0.55,0,0.55,0,0,0,0.55,1.09,0,1.64,0,0.55,0,0
