stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,4.09,0,0,0,0,0,12.26,0,0,0,40.86,0,4.09,0,0,0,0,0
72hpf,2.14,1.07,1.07,0,0,0,0,2.14,4.28,0,0,5.35,1.07,1.07,8.56,0,0,0,0,0
21Day,0,0,1.34,0,1.34,0,0,1.34,9.37,0,1.34,5.35,1.34,0,2.68,1.34,0,0,0,0
3Month,0,0.64,0.32,0.64,2.24,0.32,0,0.64,0.32,0.32,0,0,0,0,0.32,0,1.28,0.32,0.32,1.28
22Month,0,0,0,0,1.64,0,0.55,0,0.55,0,0,0,0,0,0,0,0,0,0,0
