stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,1.07,0,0,0,0,0,0,0,0,3.21,0,0,3.21,0,0,0,0,1.07,0,0,0,0,0,0,1.07,0,0,0,0
21Day,0,0,2.68,14.72,0,1.34,0,0,0,0,0,1.34,8.03,1.34,1.34,0,4.02,0,0,0,0,1.34,1.34,0,0,0,1.34,0,0,0,0,0,0
3Month,0,0.32,1.92,21.44,0,0,5.44,0.32,0,12.8,1.92,0,60.15,0.32,2.56,0.64,3.84,0,0,0.96,0.64,0,0,0.32,1.28,0,0,0.64,10.56,0.32,0.96,3.52,0.32
22Month,0.55,1.64,0,11.48,0,0,5.47,1.09,1.64,97.85,0.55,0,113.7,0.55,0.55,0.55,9.29,1.09,1.09,0.55,0,0,0,0,0,1.09,0,0,8.2,0,0,0,0
