stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,8.17,0,0,0,0,0,0,0,0,0,0,0,28.6,8.17,12.26,0,0,0,0,12.26,171.63,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,4.28,2.14,4.28,0,0,0,0,0,0,0,0,0,0,14.98,0,5.35,0,2.14,0,0,58.84,52.42,1.07,0,0,3.21,0,0,7.49,1.07,1.07,0,0,0
21Day,1.34,1.34,18.74,4.02,22.76,0,5.35,1.34,1.34,0,6.69,0,5.35,0,5.35,22.76,4.02,13.39,0,0,1.34,0,18.74,16.06,0,0,0,8.03,1.34,0,2.68,1.34,4.02,0,0,2.68
3Month,2.88,1.6,23.68,0.64,0,0.96,0.32,1.6,8.32,0,250.84,8.32,0.96,9.28,2.24,5.76,10.88,5.44,2.56,0.64,2.56,1.6,1.28,0.96,0.32,1.28,0,0,1.28,3.2,0.32,0,0,3.52,2.24,5.76
22Month,1.09,1.09,13.67,0,0,1.64,0,0.55,9.84,2.73,518.78,6.56,0,11.48,0.55,2.19,11.48,6.01,0,18.59,1.09,0,0.55,0.55,1.64,0.55,0.55,0.55,0.55,1.09,0.55,0.55,0,0,0,3.83
