stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,8.17,4.09,0,0,0,0,0,0,0,8.17,12.26,0,0,0,32.69,0,4.09,0,0,0,0,0,0
72hpf,1.07,2.14,0,0,0,0,0,0,0,3.21,0,24.61,0,0,3.21,2.14,0,13.91,0,0,0,1.07,0,0
21Day,0,1.34,1.34,2.68,0,0,0,0,0,1.34,1.34,95.04,0,2.68,2.68,0,0,9.37,0,0,1.34,0,0,0
3Month,0,2.24,0.96,0,0.64,0,1.28,0.32,0.64,0.64,0.64,16,6.72,0.32,0,0,0.32,0,0.64,0.96,0,0.32,0.64,0.32
22Month,0,9.84,1.09,0,1.64,0.55,19.13,0.55,0,0,1.64,22.41,0,0.55,0,0,0,0.55,0,0,0,0,0,0
