stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,2.14,0,0,1.07,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0,14.98,7.49,4.28,0,0,3.21,0,0,1.07,49.21,34.23,1.07,0,0,0
21Day,1.34,0,9.37,6.69,0,1.34,0,1.34,0,2.68,1.34,1.34,1.34,1.34,5.35,1.34,14.72,0,0,4.02,0,14.72,9.37,0,0,0,8.03,1.34,2.68,0,211.49,674.62,2.68,0,0,2.68
3Month,0.32,1.28,2.88,0,0.32,0,0.96,8.64,0,9.28,11.52,2.24,1.92,1.28,2.56,2.56,0.64,0.32,0,0,1.28,0.32,0,0.32,0,0,0,1.6,23.04,0.32,0.96,0.64,0.32,0.96,322.19,8.32
22Month,0,0,3.28,0,0,0,0.55,28.97,1.09,16.4,2.73,1.09,1.09,2.19,1.09,2.19,0.55,0,1.09,0.55,0,0,0,0,1.09,0.55,0,0,3.28,0,226.32,0,0,0,0.55,3.28
