stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,1.34,111.1,4.02,0,0,0,0,0,1.34,153.93,0,5.35,1.34,0,0,0,0,2.68,0,0,1.34,0
3Month,0,0,28.48,0,3.52,1.6,2.56,0,8.96,0.64,2.24,0.96,0.64,0,0.32,0,0.32,0,0,0.32,0,0,1.6
22Month,0.55,2.19,2.73,0,1.09,3.83,1.64,0.55,116.98,0,0.55,0.55,0,0,0,0.55,0,1.09,0,0.55,27.88,0,1.09
