stage,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,2.68,0,0,1.34,1.34,0,5.35,0,0,0,0,0,0,0,0,0,0
3Month,1.6,0,0.32,3.2,2.56,0.32,0.32,0.64,0.32,7.68,0.32,0.32,0,0,0.32,0.64,0.32,0.32,0.64,0.32
22Month,0.55,0.55,0,3.83,8.75,0.55,0,0.55,0,2.19,0.55,0,0.55,0.55,0,0,0,0,0,0.55
