stage,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Macrophage,Neural_progenitor_cell,T_cell
24hpf,0,0,0,4.09,0,0
72hpf,0,0,0,0,1.07,0
21Day,0,1.34,8.03,0,0,4.02
3Month,0.32,0.32,0,0,0,1.28
