stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,2.14,1.07,1.07,0,0,0,0,0,0,0,0,0
21Day,2.68,1.34,34.8,1.34,2.68,0,0,5.35,2.68,0,0,0,2.68,0,2.68,9.37,25.43,2.68,0,0,1.34,0,1.34,0,1.34,0,0,0,1.34,0,0,0,0,2.68
3Month,2.56,2.88,92.15,0.64,0,0.32,0,98.86,57.59,0,16.32,8,1.92,42.87,1.6,6.72,47.35,7.68,0.32,0,235.8,0.64,0.64,0,8,0.64,0,0,0.96,3.84,0.32,2.24,3.2,24.64
22Month,3.83,3.28,33.89,1.09,0,2.73,1.09,66.15,26.24,2.73,59.04,2.73,3.83,49.2,0.55,4.37,23.51,11.48,0,0.55,34.44,0,1.64,0,2.19,0,0.55,1.09,0.55,4.37,0,0.55,0,15.85
