stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,57.21,0,0,53.12,0,0,0,0,8.17,0,0,0,0,0,20.43,155.28,102.16,0,4.09,12.26,612.96,0,0,24.52,0,0,0,0,0,0
72hpf,3.21,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,3.21,0,0,0,1.07,1.07,0,0,1.07,0,0,1.07,0,0,0
21Day,1.34,0,0,5.35,0,2.68,0,4.02,0,0,0,0,0,0,1.34,0,0,0,0,1.34,9.37,0,0,0,1.34,0,1.34,0,0,0
3Month,0,1.28,0.32,14.4,0.32,0,0.32,1.92,0,4.16,35.83,0,1.6,0.32,2.56,10.88,2.88,0.32,0.32,0.32,0,0.96,0,0.64,0.64,0.64,2.24,0,3.84,3.2
22Month,0,0,10.93,18.59,0,0,8.75,0.55,0,7.11,0,0.55,65.05,0,0.55,6.56,1.64,1.09,0.55,3.83,1.09,3.28,0.55,0,0.55,0,14.21,0.55,0.55,3.28
