stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell
21Day,1.34,0,0,0,0,0,1.34,0,0,0,0,0,1.34,0,0,0
3Month,0,1.6,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0
22Month,0.55,4.92,0.55,3.83,1.09,0.55,0.55,2.73,0,0.55,0.55,1.09,0,0.55,0.55,0.55
