stage,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell
24hpf,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0
72hpf,0,1.07,0,0,0,11.77,2.14,41.72,1.07,0,0,0,1.07,0
21Day,2.68,0,0,1.34,0,1.34,4.02,26.77,1.34,5.35,1.34,0,0,1.34
3Month,0.32,0,0.96,0,0.32,0.64,0,0,0,0,0,0.64,0,0
22Month,0.55,0,5.47,0,0,1.09,0,0,0,0,0,5.47,0,0
