stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,4.28,0,0,0,4.28,0,0,0,0,0,109.12,0,0,0
21Day,1.34,0,0,54.88,0,4.02,0,0,0,0,0,0,0,0,4.02,0,9.37,5.35,89.68,5.35,0,0,4.02,0,6.69,2.68,0,1.34,0,0,0,0,0,0,2.68,4.02,0,0,9.37
3Month,0,3.52,1.6,176.93,0.64,0,0.64,0.32,0.32,11.52,4.8,0,21.44,9.6,0.32,303.63,26.24,12.8,508.08,7.04,1.6,0.32,2.24,663.89,1.6,0,1.6,0,0,0.64,3.52,0.32,25.6,0.32,0,9.28,3.52,3.2,29.12
22Month,0.55,1.09,4.37,259.66,0,0,3.28,0,0,9.84,4.37,10.93,40.45,4.37,1.64,369.54,10.39,10.39,407.8,6.01,1.09,1.09,4.92,18.04,6.56,0,3.83,3.83,1.09,0,4.92,0,50.29,1.64,0,0,0,0,43.73
