stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,36.78,0,49.04,4.09,0,0,0,0,0,0,0,0,0,4.09,0,0,44.95,0,0,0,0,4.09,273.79,4.09,0,4.09,0,0,0,0,0,0,0,0
72hpf,13.91,1.07,6.42,32.09,16.05,0,0,0,0,0,0,1.07,0,1.07,26.74,1.07,34.23,0,0,1.07,0,869.74,117.68,36.37,1.07,20.33,0,1.07,9.63,1.07,7.49,0,0,0
21Day,6.69,0,17.4,8.03,5.35,0,0,0,0,1.34,0,8.03,1.34,0,8.03,1.34,41.49,0,0,12.05,0,151.25,12.05,42.83,0,2.68,2.68,0,2.68,1.34,0,0,0,1.34
3Month,2.56,0.64,11.2,0.32,0,0.64,0.64,1.28,0.32,2.56,1.6,0.64,1.92,0.32,8.64,0.32,9.6,1.6,0.32,1.28,0.32,2.88,0.64,59.83,0,0.32,0,3.52,0.32,0,0,0.64,0.32,1.6
22Month,0.55,0,6.01,0,0,0,1.09,1.09,0.55,10.93,1.09,0,2.19,0,2.19,1.64,6.56,0.55,0.55,0.55,0,4.37,0,57.4,0.55,0,1.09,3.83,0.55,0,0.55,0,0,2.19
