stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,8.17,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,4.09,81.73,0,0,0,0,0,0,0,0,0
72hpf,10.7,0,1.07,0,0,0,0,0,0,0,0,0,0,8.56,1.07,0,73.82,31.02,0,1.07,5.35,0,0,2.14,0,0,0
21Day,24.09,2.68,1.34,1.34,0,2.68,0,0,0,0,0,0,2.68,16.06,2.68,0,40.16,17.4,0,0,1.34,6.69,0,5.35,1.34,0,0
3Month,0,0,0.96,0,0.32,0,0,0,1.28,0.32,0.64,0.64,0,1.6,0,0.32,0,0,0,0,0,0,0.96,0,0,0.64,0.32
22Month,0,0,0.55,0,0,0,0.55,0.55,6.01,0,0,0,0,1.09,0,1.09,0,0,0.55,0,0,0.55,2.19,0,0,0,0
