stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,8.17,8.17,0,4.09,0,0,8.17,0,0,0,0,0,0,0,0,0,36.78,0,0,24.52,155.28,0,0,0,0,0,0,0,0
72hpf,12.84,1.07,0,7.49,2.14,8.56,0,0,1.07,0,0,0,0,1.07,21.4,5.35,16.05,2.14,2.14,1459.2,50.28,2.14,1.07,19.26,0,0,9.63,3.21,0
21Day,2.68,0,0,12.05,0,5.35,0,0,0,1.34,0,1.34,1.34,0,4.02,5.35,8.03,0,0,202.12,5.35,0,1.34,5.35,0,0,2.68,0,0
3Month,0,0.64,0.32,0.64,0,0,0,0.32,0,2.88,27.2,0,1.28,5.12,0.96,0.96,0.96,0,0,0.32,0,0,0,0,0.32,0.32,0,0,1.28
22Month,0,0.55,0,1.09,0,0,0,0.55,0,3.28,14.21,0,1.09,0.55,0,0,0,0.55,0,0.55,0,0,0,0,0,0,0,0,1.64
