stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.32,0.96,0.64,4.16,0.96,0.64,0,4.16,1.6,2.56,1.92,1.28,0.96,2.88,0.32,0,255,0.32,0,0,0.64,1.92,0,0.96,0.96,2.24
22Month,0,0,0.55,2.73,0.55,3.83,2.73,20.23,0.55,2.73,0,0,0,2.19,0,0.55,0,0,1.09,256.93,0,0,0.55,0,0,1.09
