stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,1.07,0,53.49,0,0,0,0,0,0,0,0,0,0,84.51,1.07,3.21,0,0,0,27.81,7.49,0,4.28,0,0,0,0,0
21Day,0,0,0,45.51,1.34,0,0,0,0,0,0,0,0,0,57.56,1.34,17.4,0,0,0,8.03,2.68,0,13.39,1.34,0,0,0,0
3Month,0,0,0,4.16,0,0.64,0,3.84,0,5.12,0.64,0.96,2.24,0.32,4.16,0.64,0.64,0,0,0.32,0,0,0,0,0,1.92,0.32,0.32,0
22Month,0.55,4.37,1.09,9.29,0,0,0.55,9.84,4.92,62.32,0,2.19,11.48,0.55,0.55,4.37,4.92,0.55,3.83,0,0,0,0.55,0,0,15.85,1.09,0,0.55
